
########## design=L1 (L=1)  signals=14  seeds=10 top5 ##########
  NN1  mine= -1.880%  paper= -0.11%  Δ= -1.770pp   path max|Δ|=3.163e+00  (18.9 min)
  NN2  mine= -0.553%  paper=  0.03%  Δ= -0.583pp   path max|Δ|=4.130e+00  (16.5 min)
  NN3  mine=  0.329%  paper=  0.41%  Δ= -0.081pp   path max|Δ|=1.562e+00  (16.3 min)
  NN4  mine=  0.325%  paper= -2.07%  Δ= +2.395pp   path max|Δ|=7.616e+00  (20.8 min)
  NN5  mine=  0.112%  paper= -1.69%  Δ= +1.802pp   path max|Δ|=7.690e+00  (27.0 min)

########## design=L6 (L=6)  signals=84  seeds=10 top5 ##########
  NN1  mine= -6.195%  paper=  0.67%  Δ= -6.865pp   path max|Δ|=4.075e+00  (7.0 min)
  NN2  mine= -0.192%  paper=  0.23%  Δ= -0.422pp   path max|Δ|=2.571e+00  (12.7 min)
  NN3  mine= -0.134%  paper=  1.77%  Δ= -1.904pp   path max|Δ|=3.573e+00  (13.8 min)
  NN4  mine= -0.138%  paper=  0.41%  Δ= -0.548pp   path max|Δ|=2.143e+00  (16.2 min)
  NN5  mine=  0.545%  paper= -0.41%  Δ= +0.955pp   path max|Δ|=3.207e+00  (14.2 min)

########## design=L12 (L=12)  signals=168  seeds=10 top5 ##########
  NN1  mine= -0.425%  paper=  1.23%  Δ= -1.655pp   path max|Δ|=2.846e+00  (3.6 min)
  NN2  mine= -0.217%  paper=  1.52%  Δ= -1.737pp   path max|Δ|=3.538e+00  (6.2 min)
  NN3  mine= -0.333%  paper=  0.78%  Δ= -1.113pp   path max|Δ|=2.529e+00  (12.7 min)
  NN4  mine=  0.948%  paper=  1.28%  Δ= -0.332pp   path max|Δ|=3.032e+00  (16.5 min)
  NN5  mine=  0.980%  paper=  0.01%  Δ= +0.970pp   path max|Δ|=4.166e+00  (21.5 min)

########## TABLE 5 — neural networks ##########
| design | model | mine % | paper % | Δ pp | path max|Δ| |
|---|---|---|---|---|---|
| L1 | NN1 | -1.880 | -0.11 | -1.770 | 3.16e+00 |
| L1 | NN2 | -0.553 | 0.03 | -0.583 | 4.13e+00 |
| L1 | NN3 | 0.329 | 0.41 | -0.081 | 1.56e+00 |
| L1 | NN4 | 0.325 | -2.07 | +2.395 | 7.62e+00 |
| L1 | NN5 | 0.112 | -1.69 | +1.802 | 7.69e+00 |
| L6 | NN1 | -6.195 | 0.67 | -6.865 | 4.08e+00 |
| L6 | NN2 | -0.192 | 0.23 | -0.422 | 2.57e+00 |
| L6 | NN3 | -0.134 | 1.77 | -1.904 | 3.57e+00 |
| L6 | NN4 | -0.138 | 0.41 | -0.548 | 2.14e+00 |
| L6 | NN5 | 0.545 | -0.41 | +0.955 | 3.21e+00 |
| L12 | NN1 | -0.425 | 1.23 | -1.655 | 2.85e+00 |
| L12 | NN2 | -0.217 | 1.52 | -1.737 | 3.54e+00 |
| L12 | NN3 | -0.333 | 0.78 | -1.113 | 2.53e+00 |
| L12 | NN4 | 0.948 | 1.28 | -0.332 | 3.03e+00 |
| L12 | NN5 | 0.980 | 0.01 | +0.970 | 4.17e+00 |
T5_DONE
